"HYMN TITLE","Text","ELH#","TLH#","LW#","LBW#","CW#","HS'98#"
"A Boy is Born in Bethlehem",,112,,,,,
"A Great and Mighty Wonder","1 Tim 3:16",113,76,51,,36,
"A Hymn of Glory Let Us Sing","Acts 1:11",389,212,149,157,171,
"A Lamb Alone Bears Willingly","Is 53:7",331,142,111,105,100,
"A Lamb Goes Uncomplaining Forth","Is 53:7",331,142,111,105,100,
"A Mighty Fortress Is Our God","Ps 46",251,262,297,229,201,
"A Mighty Fortress Is Our God","Ps 46",250,262,298,228,200,
"A Multitude Comes from the East and the West","Matt 8:11, 12",200,415,464,313,,
"A Pilgrim and a Stranger","Ps 29:12",,586,,,,
"A Rest Remaineth for the Weary","Heb 4:9",,615,,,,
"A Stable Lamp is Lighted","Luke 2:6-7",,,,74,,810
"A Wondrous Mystery is Here",,309,,,,,
"Abide in Grace O Jesus",,579,,,,,
"Abide O Dearest Jesus","Luke 24:29",312,53,287,263,333,
"Abide with me Fast Falls the Eventide","Luke 24:29",561,552,490,272,588,
"Abide with Us Our Savior","Luke 24:29",312,53,287,263,333,
"Abide with Us the Day is Waning","Luke 24:13-35",563,194,,,,
"Across the Sky the Shades of Night","Ps 121:1",,110,181,,69,
"Adoramus te Domine","Rev 11:16-19",,,,,,894
"Ah Holy Jesus How Hast Thou Offended","Luke 23:20-24",292,143,119,123,117,
"Alabare","Rev 5:8-13",,,,,,896
"Alas and Did My Savior Bleed","Luke 23:44-46",282,154,97,98,129,
"Alas My God My Sins Are Great","Ps 38:4",,317,232,,,
"All Creatures of Our God and King","Ps 65:8-13",,,436,527,,
"All Depends on Our Possessing","Prov 10:22",468,425,415,447,421,
"All Glory Be to God Alone","Luke 2:14",36,238,210,,262,
"All Glory Be to God on High","Luke 2:14",35,237,215,166,263,
"All Glory Laud and Honor","Matt 21:16",277,160,102,108,131,
"All Hail the Power of Jesus' Name","Rev 19:16",49,339,272,328,370,
"All Hail the Power of Jesus' Name","Rev 19:16",49,339,272,329,370,
"All Hail to You O Blessed Morn",,,,,73,,
"All Mankind Fell in Adam's Fall","Rom 3:12",491,369,363,,378,
"All men Living Are But Mortal","Is 40:6",472,601,,,,
"All My Heart Sings and Rejoices","Luke 2:11",115,77,39,46,37,
"All My Heart This Night Rejoices","Luke 2:11",115,77,39,46,37,
"All My Hope on God is Founded",,203,,,,,
"All People that on Earth Do Dwell","Ps 100",51,14,435,245,233,
"All Praise Be Yours",,435,,,,350,
"All Praise to God Who Reigns Above","Deut 32:3",435,19,452,542,236,
"All Praise to Thee Eternal God","John 1:14",565,80,35,48,33,
"All Praise to Thee My God This Night","Ps 91:4",,558,484,278,592,
"All praise to Thee, for Thou, O King divine","Phil 2:5-11",,,,,,862
"All Praise to You Eternal Lord","John 1:14",565,80,35,48,33,
"All Praise to You O Lord",,,,,78,,
"All that I Was My Sin My Guilt","1 Cor 15:10",451,378,,,,
"All the Earth with Joy Is Sounding","Matt 12:39-41",,,,,,829
"All Who Believe and Are Baptized","Mark 16:16",241,301,225,194,299,
"All Who Love and Serve Your City",,,,,436,,
"All Who Would Valiant Be","Heb 11:13-16, 33-40",,,383,498,,
"All Ye Who on the Earth do Dwell","Ecclus 50:22-24",52,581,,,,
"All Ye Who on This Earth do Dwell","Ecclus 50:22-24",52,581,,,,
"All You Works of God, Bless the Lord!","Ps 103:20-22",,,,,,914
"Alleluia",,,,,,,907
"Alleluia Alleluia Give Thanks",,,,,,154,
"Alleluia Jesus Lives",,340,,,,153,
"Alleluia Sing to Jesus",,,,,158,169,
"Alleluia!  Sing to Jesus","Rev 7:9-14",,,,,,851
"Alleluia, Song of Gladness","Ps 137:1-6",,,,,,819
"Allelujah/Alleluia/Hallelujah Let Praises Ring","Rev 19:1",6,23,437,,241,
"Almighty Father Bless the Word","Luke 8:3",412,52,216,,323,
"Almighty Father Heaven and Earth","1 Pet 4:10",447,438,,,480,
"Almighty Father Strong to Save",,,,,467,517,
"Almighty God Thy Word is Cast","Mark 4:3-9",228,49,342,234,324,
"Almighty God Your Word is Cast","Mark 4:3-9",228,49,342,234,324,
"Almighty Lord before Thy Throne","Ps 59:16",,579,,,,
"Am I a Soldier of the Cross","1 Cor 16:13",,445,,,,
"Amazing Grace How Sweet the Sound","Rom 3:22-24",,,509,448,379,
"Amid the World's Bleak Wilderness","Ps 80:8-19",,,273,378,342,
"An Awefull Mystery Is Here","1 Cor 11:23-35",309,304,,,,
"And Have the Bright Immensities",,,,,391,,
"And will the Judge Descend","Matt 25:41",,610,,,,
"And Wilt Thou Pardon, Lord","Ps 143:4",,322,,,,
"Angels from the Realms of Glory","Matt 2:2",114,136,50,50,80,
"Angels We Have Heard on High","Luke 2:7-20",116,,55,71,63,
"Approach My Soul the Mercy-Seat","Matt 11:28",,456,,,,
"Arise and Shine in Splendor","Is 60:1-6",166,126,85,,81,
"Arise My Soul Arise",,,,,516,244,
"Arise My Soul Sing Joyfully",,118,,,,44,
"Arise O Christian People","Luke 3:4, 5",,75,25,,14,
"Arise O God and Shine","Is 60:3",,642,,,,
"Arise Sons of the Kingdom","Luke 19:28",105,69,,,,
"Arm These Thy Soldiers, Mighty Lord","Eph 6:13",508,332,,,,
"Around the Throne a Glorious Band",,,,,,549,
"Around the Throne of God a Band","Ps 91:11",546,256,,,198,
"Around You O Lord Jesus",,,,,496,,
"Art Thou Weary Art Thou Troubled","Matt 11:28",,513,,,,
"As After the Waterbrooks Panteth",,462,,,,,
"As Angels Joyed with One Accord",,,,,,5,
"As Each Happy Christmas","Luke 2:4-7",117,,66,,,
"As Men of Old Their Firstfruits Brought",,,,,404,,
"As Moses Lost in Sinai's Wilderness","Ps 22:3-5",,,324,,,
"As Pants the Hart for Cooling Streams","Ps 42",,525,,452,,
"As Saints of Old Their Firstfruits Brought",,,,,404,,
"As Surely as I Live God Said","Ezek 33:11",417,331,235,,308,
"As We Begin Another Week","Rev 1:10",,7,,,223,
"As with Gladness Men of Old","Matt 2:1-11",168,127,75,82,83,
"Asleep in Jesus Blessed Sleep","1 Thess 4:14",478,587,,,605,
"At Even when the Sun did Set","Mark 1:32-34",,557,,,,
"At Jesus Feet Our Infant Sweet",,245,,,,,
"At the Cross Her Station Keeping",,,,,110,,
"At the Lamb's High Feast We Sing","Rev 5:11-13",310,,126,210,141,
"At the Name of Jesus","Phil 2:5-11",53,,178,179,344,
"Awake and Sing the Song",,17,,,,,
"Awake My Heart with Gladness","Col 2:15",341,192,128,129,156,
"Awake My Soul and with the Sun","Ps 108:2",74,536,478,269,582,
"Awake My Soul to Joyful Lays","Ps 36:7",,340,,,,
"Awake O Spirit of the Watchmen","2 Thess 3:1",395,494,315,382,567,
"Awake O Spirit Who Inspired","2 Thess 3:1",395,494,315,382,567,
"Awake thou spirit of the watchmen","2 Thess 3:1",395,494,315,382,567,
"Awake Thou Spirit Who Didst Fire","2 Thess 3:1",395,494,315,382,567,
"Away in a Manger No Crib for His Bed","Luke 2:7",119,,64,67,68,
"Baptized in Water",,,,,,297,
"Baptized into Thy Name Most Holy","Matt 28:19",242,298,224,192,294,
"Baptized into Your Name Most Holy.","Matt 28:19",242,298,224,192,294,
"Battle Hymn of the Republic",,,,,332,,
"Be Not Dismayed Thou Little Flock",,375,,,,,
"Be Still My Soul","Ps 46:10",,651,510,,415,
"Be Strong in the Lord","Eph 6:10-18",,,,,,866
"Beati Pauperes","Matt 5:3-12",,668,,,,
"Beautiful Savior","Ps 45:2",54,657,507,518,369,
"Before Jehovah's Awefull Throne","Ps 100",,13,454,531,,
"Before Jehovah's Awesome Throne","Ps 100",,13,454,531,,
"Before the Ending of the Day","Ps 91:1-12",,,489,277,595,
"Before the Lord We Bow","Ps 145:1",,575,500,401,618,
"Before Thee God Who Knowest All","Ezra 9:15",493,318,234,310,306,
"Before Thy Throne I Now Appear",,564,,,,,
"Before You God the Judge of All","Ezra 9:15",493,318,234,310,306,
"Before You Lord We Bow","Ps 145:1",,575,500,401,,
"Before Your Awesome Majesty",,50,,,,,
"Behold a Branch is Growing","Is 11:1-2",121,645,67,58,47,
"Behold a Host Arrayed in White","Rev 7:13-17",553,656,192,314,550,
"Behold a Host Like Mountains Bright","Rev 7:13-17",553,656,192,314,550,
"Behold a Stranger at the Door","Rev 3:20",,650,,,,
"Behold the Lamb of God!","John 1:29",235,165,,,101,
"Behold the Savior of Mankind","Luke 23:46",,176,,,,
"Behold the Sure Foundation-Stone","Ps 118:22",,460,,,,
"Beloved It Is Well!","Rom 11:33",,519,,,,
"Beneath the Cross of Jesus",,330,,,107,,
"Beneath the Cross of Jesus Kneeling",,288,,,,,
"Bless Our Loved Ones Holy Father","Gen 31:49",576,643,469,,504,
"Blessed Are the Saints of God","Matt 5:14",,391,370,,394,
"Blessed Are the Sons of God ","Matt 5:14",,391,370,,394,
"Blessed Are They Forever Blest","Ps 32",416,392,,,8,
"Blessed Jesus at Thy Word","Luke 11:28",1,16,202,248,221,
"Blessed Jesus at Your Word","Luke 11:28",1,16,202,248,221,
"Blessed Savior, Who hast Taught Me","Ezek 16:60",,333,,,,
"Blessing and Honor and Glory and Power",,,,,525,,
"Blest Be the God of Israel",,,,,,275,
"Blest Be the Tie that Binds","Eph 4:3",420,464,295,370,494,
"Blest Is the Man Forever Blest","Ps 32",416,392,,,8,
"Blest the Children of Our God","Eph 1:3-8",,,370,,,
"Bonum Est Confiteri","Ps 92",,663,,,,
"Bow Down Your Ear Almighty Lord",,,,,286,,
"Bread of the World in Mercy Broken",,312,,,,,
"Break Forth O Beauteous Heavenly Light",,118,,,,44,
"Break Forth, O Beauteous Heavenly Light","Is 9:2-7",,,,,,811
"Break Now the Bread of Life",,,,,235,,
"Breathe on Me Breath of God",,,,,488,,
"Brief Life Is Here Our Portion","Heb 13:14",534,448,,,,
"Bright and Glorious is the Sky",,120,,,75,,
"Brightest and Best of the Sons of the Morning","Matt 2:11",169,128,86,84,92,
"Brightest and Best of the Stars of the Morning","Matt 2:11",169,128,86,84,92,
"Brothers and Sisters Let Us Gladly",,,,,,484,
"Built on the Rock the Church doth Stand","Eph 2:19-22",211,467,291,365,529,
"By Adam's Fall is All Forlorn",,430,,,,,
"By All Your Saints in Warfare","per apostle",,,193,177,552,
"By All Your Saints in Warfare","per apostle",,,194,178,552,
"By All Your Saints Still Striving","per apostle",,,193,177,552,
"By All Your Saints Still Striving","per apostle",,,194,178,552,
"By Faith We Are Divinely Sure",,229,,,,,
"By Grace I'm Saved Grace Free and Boundless","Eph 2:8, 9",226,373,351,,384,
"Cantate Domino","Ps 98",,667,,,,
"Chief of Sinners Though I Be ","Rom 5:8",429,342,285,306,385,
"Children of the Heavenly Father","Romans 8:14-17",,,,,,888
"Children of the Heavenly Father",,174,,,474,449,
"Christ Alone is Our Salvation",,484,,,,,
"Christ be My Leader","John 8:12",,,365,,367,
"Christ by Heavenly Hosts Adored","1 Tim 2:1-3",,,499,,617,
"Christ by Heavenly Hosts Adored","Jer 29:7",,566,,,617,
"Christ Has Arisen, Alleluia","Mark 16:6-7",,,,,,828
"Christ High Ascended",,,,,,558,
"Christ is Alive Let Christians Sing",,,,,363,,
"Christ is Arisen","1 Cor 15:20",,187,124,136,144,
"Christ is Made the Sure Foundation","1 Peter 2:5-7",,,,,,865
"Christ is Made the Sure Foundation",,8,,,367,531,
"Christ Is Our Corner-Stone","1 Kings 9:3",,465,290,,528,
"Christ is Risen Alleluia",,,,,131,,
"Christ Is Risen, Christ Is Living","1 Cor 15:12-23",,,,,,833
"Christ is the King O Friends Rejoice",,,,,386,,
"Christ is the World's Light",,,,,,343,
"Christ Jesus lay in Death's Strong Bands","Acts 2:24",343,195,123,134,161,
"Christ Mighty Savior",,567,,,,,
"Christ the Life of All the Living","Matt 26:64-67, 27:33-46",333,151,94,97,114,
"Christ the Lord is Risen Again","Mark 16:6",344,190,,,155,
"Christ the Lord is Risen Today","1 Cor 15:57",,193,142,130,149,
"Christ the Lord is Risen Today!  Alleluia!","Mark 16:6",345,191,137,128,150,
"Christ the Lord to Us is Born","Luke 2:11",,86,69,57,59,
"Christ Thou Art the Sure Foundation","1 Kings 9:3",,466,,367,,
"Christ Whose Glory Fills the Skies","Luke 1:78",,359,480,265,,
"Christ, Mighty Savior","John 1:1-5",,,,,,903
"Christ, When for Us You Were Baptized","Matt 3:13-17",,,,,,815
"Christians Awake Salute the Happy Morn","Luke 2:1-18",,84,,,,
"Christians Come in Sweetest Measures","Gen 2:10",411,282,,,,
"Christians Sing Out with Exultation","1 John 4:2",,100,,,,
"Christians to the Paschal Victim",,,,10,137,,
"Christians While on Earth Abiding","Matt 6:9-13",,,434,440,408,
"Church of God, Elect and Glorious","1 Peter 2:9-10",,,,,,864
"Cold December Flies Away",,,,,53,,
"Come Down O Love Divine","John 14:16",9,,162,508,,
"Come Follow Me Said Christ the Lord","Matt 16:24",422,421,379,455,453,
"Come Follow Me the Savior Spake","Matt 16:24",422,421,379,455,453,
"Come Gracious Spirit Heavenly Dove","John 16:13-14",,,161,475,,
"Come Holy Ghost Creator Blest","John 14:26",10,233,157,472,178,
"Come Holy Ghost Creator Blest","John 14:26",,,158,473,177,
"Come Holy Ghost God and Lord","Acts 2:4",2,224,154,163,176,
"Come Holy Ghost in Love","Ezek. 36.26",11,227,,,,
"Come Holy Ghost Our Souls Inspire","John 14:26",10,233,157,473,178,
"Come Holy Ghost Our Souls Inspire","John 14:26",,,158,472,,
"Come Holy Spirit Come","Ps 51:10-12",,225,,,,
"Come Jesus from the Sapphire Throne","Gen 28:17",,634,,,,
"Come Let Us Eat for Now the Feast is Spread",,,,,214,,
"Come Let Us Join Our Cheerful Songs","Rev 5:12",66,344,204,254,227,
"Come Let Us With Our Lord Arise",,3,,,,,
"Come My Soul Thy Suit Prepare","1 Kings 3:5",381,459,433,,409,
"Come My Soul with All Thy Care","1 Kings 3:5",381,459,433,,409,
"Come My Soul with Every Care","1 Kings 3:5",381,459,433,,409,
"Come My Way My Truth My Life",,,,,513,,
"Come Now Almighty King","Rev 4:8",12,239,169,522,193,
"Come O Almighty King","Rev 4:8",12,239,169,522,193,
"Come O Come Thou Quickening Spirit","Rom 8:15",438,226,165,478,181,
"Come O Long Expected Jesus","Is 9:6",,,22,,6,
"Come O Precious Ransom Come","Matt 21:6",88,55,34,24,8,
"Come Oh Come Life Giving Spirit","Rom 8:15",438,226,165,478,181,
"Come Oh Come O Quickening Spirit","Rom 8:15",438,226,165,478,181,
"Come Oh Come Thou Quickening Spirit","Rom 8:15",438,226,165,478,181,
"Come Rejoice Before Your Maker",,,,,,228,
"Come Rejoicing, Praises Voicing","Luke 2:1-14",,82,,66,,
"Come Risen Lord and Deign to Be Our Guest",,,,,209,,
"Come Thou Almighty King","Rev 4:8",12,239,169,522,193,
"Come Thou Bright and Morning Star","Ps 88:13",75,539,,,,
"Come Thou Fount of Every Blessing",,,,,499,,
"Come Thou Long Expected Jesus",,87,,,30,,
"Come Thou Precious Ransom Come","Matt 21:6",88,55,34,24,8,
"Come to Calvary's Holy Mountain","Matt 11:28",412,149,96,301,106,
"Come unto Me Ye Weary","John 6:37",413,276,345,,336,
"Come With Us O Blessed Jesus",,,,,219,,
"Come Ye Disconsolate","Heb 4:16",,531,,,,
"Come Ye Faithful Raise the Strain","Ex 15:1-21",347,204,141,132,142,
"Come Ye Thankful People Come","Is 9:3",461,574,495,407,613,
"Come You Faithful Raise the Strain","Ex 15:1-21",347,204,141,132,142,
"Come You Thankful People Come","Is 9:3",461,574,495,407,613,
"Come Your Hearts and Voices Raising","Luke 2:15",128,90,48,,42,
"Come, Join in Cana's Feast","John 2:1-11",,,,,,817
"Come, Lord Jesus, Be Our Guest","Ps 145:15-16",,,,,,892
"Come, Risen Lord","Mark 14:12-25",,,,,,856
"Come, Thou Fount of Every Blessing","John 7:37-39",,,,,,876
"Comfort Comfort All My People","Is 40:1-8",102,61,28,29,11,
"Comfort Comfort Now My People","Is 40:1-8",102,61,28,29,11,
"Comfort Comfort Says the Voice","Is 40:1-8",,,21,,,
"Comfort Comfort These My People","Is 40:1-8",102,61,28,29,11,
"Comfort Comfort Ye My People","Is 40:1-8",102,61,28,29,11,
"Commit Whatever Grieves Thee","Ps 37:5",,520,427,,,
"Cradling Children in His Arm","Mark 10:13-16",,,,,,843
"Cradling Children in His Arm",,,,,193,,
"Create in Me a Clean Heart O God","Ps 51",,,,,272,
"Creator of the Starry Height",,108,,,,,
"Creator Spirit by Whose Aid","Rom 8:9",,236,167,164,188,
"Creator Spirit Heavenly Dove","John 16:13-15",,,156,284,,
"Cross of Jesus, Cross of Sorrow","Col 1:19-20",,,,,,823
"Crown Him with Many Crowns","Rev 19:12",55,341,278,170,341,
"Cup of Blessing That We Share",,,,,204,,
"Day of Wrath Oh Day of Mourning","Zeph 1:15, 16",537,607,,,209,
"De Profundis","Ps 130",,664,,,,
"Dear Christians One and All Rejoice","Rom 3:28",378,387,353,299,377,
"Dear Father Who hast Made Us All","Gal 3:27",,299,,,298,
"Dear Father You Have Made Us All","Gal 3:27",,299,,,298,
"Dear Lord and Father of Mankind",,,,,506,,
"Dear Lord to Thy True Servants Give","Is 61:1, 2",,482,,,542,
"Dear Lord to Your True Servants Give","Is 61:1, 2",,482,,,542,
"Dearest Jesus At Your Word","Luke 11:28",,,202,248,,
"Dearest Jesus Draw Thou Near Me",,13,,,,,
"Dearest Jesus We Are Here","Mark 10:13-16",244,300,226,187,295,
"Death is Dead the True Life Liveth",,346,,,,,
"Deep Were His Wounds","1 Peter 2:24",,,,,,821
"Deep Were His Wounds and Red",,,,,100,107,
"Delay Not Delay Not O Sinner Draw Near","Acts 24:25",,278,349,,337,
"Do Not Despair O Little Flock","Luke 12:32",375,263,300,361,,
"Dominus Regit Me","Ps 23",,662,,,,
"Down From the Mount of Glory",,,,,,97,
"Draw Near and Take the Body of the Lord","Ps 34:8",,307,240,226,309,
"Draw Nigh and Take the Body of the Lord","Ps 34:8",,307,240,226,309,
"Draw Us to Thee","Song Solomon 1:4",,215,153,,170,
"Draw Us to Thee in Mind and Heart",,581,,,,,
"Draw Us to You","Song Solomon 1:4",,215,153,,170,
"Drawn to the Cross which Thou hast Blest ","John 12:32",,390,356,,387,
"Drawn to the Cross which You have Blest","John 12:32",,390,356,,387,
"Earth and All Stars","Ps 148",,,438,558,247,
"Eat This Bread","1 Cor 11:23-26",,,,,,854
"Enslaved by Sin and Bound in Chains","1 Pet 1:18, 19",,141,,,102,
"Entrust Your Days and Burdens","Ps 37:5",,,427,,,
"Eternal Father Strong to Save",,,,,467,517,
"Eternal Father, Strong to Save","Mark 4:35-41",,,,,,906
"Eternal God Before Your Throne We Bend",,,,,354,,
"Eternal Ruler of the Ceaseless Round",,,,,373,,
"Eternal Son of God O Thou",,68,,,,,
"Eternal Spirit of the Living Christ","Rom 8:26-27",,,432,441,,
"Even as We Live Each Day","1 Sam 20:3",527,590,265,350,534,
"Evening and Morning","Ps 33:3-6",57,,419,465,430,
"Every Morning Mercies New","Lam 3:23",,537,,,580,
"Every Year the Christ Child","Luke 2:4-7",117,,66,,,
"Faith is a Living Power from Heaven",,361,,,,404,
"Faith of Our Fathers Living Still",,,,,500,,
"Farewell I Gladly Bid Thee","Rev 3:5",535,407,,,,
"Father Eternal Ruler of Creation",,,,,413,,
"Father in Whom We Live","Acts 17:28",,241,,,,
"Father Let Me Dedicate","1 Pet 2:9",,118,,,75,
"Father Most Holy Merciful and Tender","2 Cor 13:14",436,240,175,169,191,
"Father of Glory to Thy Name","Ps 135:1",,248,,,,
"Father of Heaven Whose Love Profound","Rev 4:11",,242,,,,
"Father of Mercies in Thy Word","Ps 119:127",,284,,240,,
"Father of Mercies in Your Word","Ps 119:127",,284,,240,,
"Father Son and Holy Ghost",,509,,,,,
"Father We Praise Thee Now the Night is Over","Ps 91:1-2",76,,482,267,581,
"Father We Praise You Now the Night is Over","Ps 91:1-2",76,,482,267,581,
"Father Who the Light this Day","Gen 1:3",14,8,,,,
"Father, We Thank Thee","John 6:22-58",,,,,,898
"Fear and Love Thy God and Lord",,510,,,,,
"Feed Thy Children God Most Holy","Ps 145:15, 16",599,659,468,,616,
"Feed Your Children God Most Holy","Ps 145:15, 16",599,659,468,,616,
"Fight the Good Fight with All Thy Might","1 Tim 6:12",249,447,299,461,457,
"Fight the Good Fight with All Your Might","1 Tim 6:12",249,447,299,461,457,
"Filled With the Spirit's Power with One Accord",,,,,160,,
"Fling Out the Banner Let It Float",,504,,,,,
"Fling Wide the Door Unbar the Gate","Ps 24","91 & 92",73,24,32,"3 & 4",
"Flung to the Heedless Winds","Acts 7:59",556,259,,,,
"For All the Faithful Women",,,,,,,880
"For All the Saints Who from Their Labors Rest","Heb 12:1",554,463,191,174,551,
"For All Thy Saints O Lord","Rev 7:15",,468,195,176,555,
"For All Your Saints O Lord","Rev 7:15",,468,195,176,555,
"For Christian Homes O Lord We Pray",,,,,,500,
"For Jerusalem You're Weeping","Luke 19:41",,419,390,,,
"For Many Years O God of Grace","Ps 84:1",,639,325,,622,
"For Me to Live Is Jesus","Phil 1:21",473,597,267,,606,
"For Perfect Love So Freely Spent",,,,,216,,
"For the Beauty of the Earth",,463,,,561,,
"For the Bread Which You Have Broken",,,,,200,,
"For the Fruit of All Creation",,,,,563,611,
"For the Fruit of His Creation",,,,,563,611,
"For the Fruits of His Creation","Mark 4:26-27",,,,,,905
"For Thee O Dear Dear Country","Heb 11:16",534,614,,,,
"For Thy Mercy and Thy Grace","Ps 59:16",,121,,,,
"For Years on Years of Matchless Grace",,,,,,621,
"Forever with the Lord","1 Thess 4:17",552,616,,,213,
"Forgive Our Sins as We Forgive","Matt 6:12",,,,,,877
"Forgive Our Sins as We Forgive",,,,,307,493,
"Forgive Us Lord for Shallow Thankfulness","Ps 106:44-47",,,401,,482,
"Forth in the Peace of Christ We Go","Rev 5:10",,,459,,518,
"Forth in Thy Name O Lord I Go","Col 3:17",506,,380,505,456,
"Forth in Your Name O Lord I Go","Col 3:17",506,,380,505,456,
"Founded on Thee Our Only Lord","Matt 16:18",,637,,,,
"From All that Dwell below the Skies","Ps 117",16,15,440,550,250,
"From All Thy Saints in Warfare","per apostle",558,,193,177,,
"From All Thy Saints in Warfare","per apostle",558,,194,178,,
"From Calvary's Cross I Heard Christ Say","Heb 5:7",337,177,108,,,
"From Depths of Woe I Cry to Thee","Ps 130",452,329,230,295,305,
"From Depths of Woe I Cry to You","Ps 130",452,329,230,295,305,
"From East to West From Shore to Shore","Luke 2:7-11",267,,43,64,,
"From Eternity O God","Acts 8:15",220,411,,,461,
"From God can Nothing Move Me","Josh 24:16",465,393,409,468,418,
"From God Shall Naught Divide Me","Josh 24:16",465,393,409,468,418,
"From Greenland's Icy Mountains","Acts 16:9",,495,322,,571,
"From Heaven Above to Earth I Come","Luke 2:1-18",123,85,37,51,38,
"From Heaven Above to Earth I Come","Luke 2:1-18",124,85,37,51,38,
"From Heaven Came the Angels Bright","Luke 2:10, 11",154,103,52,,53,
"From Shepherding of Stars that Gaze","Luke 2:9-12",,,71,63,,
"From God the Father Virgin Born","John 1:14",,,74,83,,
"Fruitful Trees, the Spirit's Sowing","Gal 5:22-23",,,,,,875
"Gentle Mary Laid Her Child","Luke 2:7-11",,,57,,56,
"Give Praise to God Our King",,58,,,,,
"Give Thanks to God on High",,,,,,553,
"Give To Our God Immortal Praise",,,,,520,,
"Glorious in Majesty",,,,,,496,
"Glorious Things of Thee are Spoken","Is 33:20, 21",214,469,294,358,,
"Glorious Things of You are Spoken","Ps 87",214,469,294,358,,
"Glory Be to God in Heaven",,,,,,264,
"Glory Be to God the Father","Rev 19:1",410,244,173,167,239,
"Glory Be to Jesus","1 Pet 1:19",283,158,98,95,103,
"Glory Be to the Father",,,,,,273,
"Glory to God We Give You Thanks","Luke 2:14",,,,,,"p.7"
"Go Labor On",,,,,,563,
"Go My Children With My Blessing",,,,,,332,
"Go Tell it on the Mountain","Luke 2:7-20",,,504,70,57,
"Go to Dark Gethsemane","Lam 3:19",284,159,110,109,104,
"Go, My Children, with My Blessing","Matt 28:20b",,,,,,887
"God Be With You till We Meet Again",,,,,,327,
"God Be With You till We Meet Again",,,,,,327,
"God Bless Our Native Land","Rom 13:1-7",602,577,497,569,619,
"God Brought Me to this Time and Place","1 Sam 7:12",71,33,456,,,
"God has Spoken by His Prophets","Heb 1:1-2",,,343,238,281,
"God Himself is Present","Hab 2:20",,4,206,249,224,
"God Is Here As We His People",,,,,,532,
"God Lord of Sabaoth Thou Who Ordainest","Ps 122:6",,582,,,,
"God Loved the World So that He Gave","John 3:16",403,245,352,292,391,
"God Loves Me Dearly",,175,,,,,
"God Moves in a Mysterious Way","John 13:7",434,514,426,483,420,
