dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
St. Thomas the Apostle,historic,,Eph. 1:3-6,John 19:24-31,,,,,,,,
"St. John, Apostle and Evangelist",historic,,1 John 1:1-10,John 21:19-24,,,,,,,,
St. Mark the Evangelist,historic,,Eph. 4:7-16,Luke 10:1-9,,,,,,,,
St. Stephen the Martyr,historic,,Acts 6:8-15; 7:54-60,Matt. 23:34-39,,,,,,,,
Trinity,ilcwb,Dt. 6:4-9,Rom. 8:14-17,Jn. 3:1-17,96,,,,,38,403,
Trinity,ilcwc,Prov. 8:22-31,Rom. 5:1-5,Jn. 16:12-15,8,,,,,38,405,
Trinity,historic,Ezek. 18:30-32,Rom. 11:33-36,John 3:1-15,8,1 Jn. 3:1-10,John 15:12-17,Titus 3:3-7,Matt. 28:16-20,,,
Trinity,ilcwa,Gen. 1:1-2:3,2 Co. 13:11-14,Mt. 28:16-20,135,,,,,38,18,
Pentecost 4,ilcwb,Ezek. 17:22-24,2 Co. 5:1-10,Mk. 4:26-34,92:1-15,,,,,20,483,
Pentecost 4,ilcwc,2 Sm. 11:26-12:15,Gal. 2:11-21,Lk. 7:36-50,32,,,,,20,522,
Pentecost 4,ilcwa,Ex. 19:2-8a,Rom. 5:6-11,Mt. 9:35-10:8,100,,,,,20,202,
Pentecost 5,ilcwb,Job 38:1-11,2 Co. 5:14-21,Mk. 4:35-41,107,,,,,439,209,
Pentecost 5,ilcwc,Zech. 12:7-10,Gal. 3:23-29,Lk. 9:18-24,119:41ff,,,,,439,422,
Pentecost 5,ilcwa,Jer. 20:7-13,Rom. 5:12-15,Mt. 10:24-33,91,,,,,439,174,
Second Last,ilcwb,Dan. 7:9-10,Heb. 12:1-2,Mk. 13:24-31,111,,,,,534,537,
Second Last,ilcwc,Jer. 8:4-7,2 Co. 5:1-10,Lk. 19:11-27,92:1-8,,,,,534,537,
Second Last,historic,Is. 40:9-11,2 Th. 1:3-10,Matt. 25:31-46,50,1 Cor. 15:22-28,Matt. 11:25-30,Heb. 4:9-13,John 5:22-29,,,
Second Last,ilcwa,Jer. 25:30-32,1 Thes. 1:3-10,Mt. 25:31-46,105:1-7,,,,,534,537,
Pentecost 7,ilcwb,Ezek. 2:1-5,2 Co. 12:7-10,Mk. 6:1-6,143:1-8,,,,,437,503,
Pentecost 7,ilcwc,Is. 66:10-14,Gal. 6:1-16,Lk. 10:1-20,19,,,,,437,505,
Pentecost 7,ilcwa,Zech. 9:9-12,Rom. 7:15-25a,Mt. 11:25-30,119:137ff,,,,,437,413,
Pentecost 2,ilcwb,Dt. 5:12-15,2 Co. 4:5-12,Mk. 2:23-28,142,,,,,33,485,
Pentecost 2,ilcwc,1 Kg. 8:41-43,Gal. 1:1-10,Lk. 7:1-10,117,,,,,33,460,
Pentecost 2,ilcwa,Dt. 11:18-28,Rom. 3:21-28,Mt. 7:15-29,4,,,,,33,511,
Pentecost 3,ilcwb,Gn. 3:9-15,2 Co. 4:13-18,Mk. 3:20-35,28,,,,,257,252,
Pentecost 3,ilcwc,1 Kg. 17:17-24,Gal. 1:11-24,Lk. 7:11-17,116:1-9,,,,,257,423,
Pentecost 3,ilcwa,Hos. 5:15-6:6,Rom. 4:18-25,Mt. 9:9-13,119:65ff,,,,,257,451,
Pentecost 8,ilcwb,Amos 7:10-15,Eph. 1:3-14,Mk. 6:7-13,126,,,,,591,192,
Pentecost 8,ilcwc,Dt. 30:9-14,Col. 1:1-14,Lk. 10:25-37,25:1-10,,,,,591,459,
Pentecost 8,ilcwa,Is. 55:10-11,Rom. 8:18-25,Mt. 13:1-23,65,,,,,591,228,
Conversion of St. Paul,historic,,Acts 9:1-22,Matt. 19:27-30,,,,,,,,
Pentecost 16,ilcwb,Is. 35:4-7a,Jam. 1:17-27,Mk. 7:31-37,146,,,,,470,237,
Pentecost 16,ilcwc,Prov. 9:8-12,Philemon,Lk. 14:25-33,119:169ff,,,,,470,424,
Pentecost 16,ilcwa,Ezek. 33:7-9,Rom. 13:1-10,Mt. 18:15-20,119:113ff,,,,,470,506,
Pentecost 17,ilcwb,Is. 50:4-10,Jam. 2:1-18,Mk. 8:27-35,116:1-9,,,,,415,445,
Pentecost 17,ilcwc,Ex. 32:7-14,1 Tm. 1:12-17,Lk. 15:1-10,51:1-17,,,,,415,429,
Pentecost 17,ilcwa,Gn. 50:15-21,Rom. 14:5-9,Mt. 18:21-35,103:1-13,,,,,415,473,
Pentecost 14,ilcwb,Jos. 24:14-18,Eph. 5:21-31,Jn. 6:60-69,34:15-22,,,,,486,230,
Pentecost 14,ilcwc,Is. 66:18-23,Heb. 12:18-24,Lk. 13:22-30,117,,,,,486,200,
Pentecost 14,ilcwa,Ex. 6:2-8,Rom. 11:33-36,Mt. 16:13-20,138,,,,,486,211,
Pentecost 15,ilcwb,Dt. 4:1-8,Eph. 6:10-20,Mk. 7:1-23,119:129ff,,,,,418,518,
Pentecost 15,ilcwc,Prov. 25:6-7,Heb. 13:1-8,Lk. 14:7-14,119:161ff,,,,,418,458,
Pentecost 15,ilcwa,Jer. 15:15-21,Rom. 12:1-8,Mt. 16:21-26,119:105ff,,,,,418,422,
Pentecost 12,ilcwb,1 Kg. 19:4-8,Eph. 4:30-5:2,Jn. 6:41-51,34:1-8,,,,,361,266,
Pentecost 12,ilcwc,Gn. 15:1-6,Heb. 11:1-16,Lk. 12:32-40,50,,,,,361,229,
Pentecost 12,ilcwa,1 Kg. 19:9-18,Rom. 9:1-5,Mt. 14:22-33,28,,,,,361,46,
Pentecost 13,ilcwb,Prov. 9:1-6,Eph. 5:15-20,Jn. 6:51-58,34:9-14,,,,,411,262,
Pentecost 13,ilcwc,Jer. 23:23-29,Heb. 12:1-13,Lk. 12:49-53,119:81ff,,,,,411,477,
Pentecost 13,ilcwa,Is. 56:1-8,Rom. 11:13-32,Mt. 15:21-28,67,,,,,411,199,
Pentecost 10,ilcwb,Ex. 24:3-11,Eph. 4:1-16,Jn. 6:1-15,136,,,,,497,421,
Pentecost 10,ilcwc,Gn. 18:20-22,Col. 2:6-15,Lk. 11:1-3,138,,,,,497,383,
Pentecost 10,ilcwa,1 Kg. 3:5-12,Rom. 8:28-30,Mt. 13:44-52,119:129ff,,,,,497,263,
Pentecost 11,ilcwb,Ex. 16:2-15,Eph. 4:17-24,Jn. 6:24-35,119:89ff,,,,,468,214,
Pentecost 11,ilcwc,Eccl. 2:18-26,Col. 3:1-11,Lk. 12:13-21,100,,,,,468,535,
Pentecost 11,ilcwa,Is. 55:1-5,Rom. 8:35-39,Mt. 14:13-21,136,,,,,468,414,
Christmas second,ilcwb,Is. 62:10-12,Titus 3:4-7,Lk. 2:1-20,98,,,,,135,113,
Christmas second,ilcwc,Is. 62:10-12,Titus 3:4-7,Lk. 2:1-20,98,,,,,135,113,
Christmas second,historic,Micah 5:2-4,Titus 3:4-7,Luke 2:15-20,121,,,,,,,
Christmas second,ilcwa,Is. 62:10-12,Titus 3:4-7,Lk. 2:1-20,98,,,,,135,113,
Pentecost 18,ilcwb,Jer. 11:18-20,Jam. 3:16-4:6,Mk. 9:30-37,119:25ff,,,,,207,183,
Pentecost 18,ilcwc,Amos 8:4-7,1 Tm. 2:1-8,Lk. 16:1-13,119:33ff,,,,,207,446,
Pentecost 18,ilcwa,Is. 55:6-9,Phil. 1:1-27,Mt. 20:1-16,27:1-9,,,,,207,421,
New Year's Eve,ilcwb,Is. 51:1-6,Rom. 8:31-39,Mt. 1:18-21,8,,,,,160,572,
New Year's Eve,ilcwc,Is. 51:1-6,Rom. 8:31-39,Mt. 1:18-21,8,,,,,160,572,
New Year's Eve,historic,Is. 63:7-18,1 Pet. 1:22-25,Luke 13:6-10,90,,,,,,,
New Year's Eve,ilcwa,Is. 51:1-6,Rom. 8:31-39,Mt. 1:18-21,8,,,,,160,572,
Last,ilcwb,Is. 51:4-6,Jude 20-25,Mk. 13:32-37,130,,,,,544,61,
Last,ilcwc,Mal. 3:14-18,Rev. 22:6-13,Lk. 12:42-48,130,,,,,544,61,
Last,historic,Is. 65:17-19,1 Thes. 5:1-11,Matt. 25:1-13,45,,,,,,,
Last,ilcwa,Is. 65:17-25,2 Pet. 3:3-13,Mt. 25:1-13,130,,,,,544,543,
Epiphany 8,ilcwb,Hos. 2:14-20,2 Co. 3:1b-6,Mk. 2:18-22,103:1-13,,,,,372,486,
Epiphany 8,ilcwc,Jer. 7:1-7,1 Co. 15:51-58,Lk. 6:39-49,92,,,,,372,25,
Epiphany 8,ilcwa,Is. 49:13-18,1 Co. 4:1-13,Mt. 6:24-34,62,,,,,372,535,
St. Matthias the Apostle,historic,,Acts 1:15-26,Matt. 11:25-30,,,,,,,,
Sexagesima,historic,Is. 55:10-13,2 Co 11:19-12:9,Luke 8:4-15,44,1 Cor. 1:20-25,John 12:35-43,2 Tim. 3:14-4:5,Matt. 9:37-10:7,,,
St. Andrew the Apostle,historic,,Rom. 10:8-18,Matt. 4:18-22,,,,,,,,
St. Mary Magdalene,historic,Prov. 31:10-31,,Luke 7:36-50,,,,,,,,
All Saints' Day,ilcwb,Is. 26:1-21,Rev. 21:9-27,Mt. 5:1-12,34:1-10,,,,,554,553,
All Saints' Day,ilcwc,Is. 26:1-21,Rev. 21:9-27,Mt. 5:1-12,34:1-10,,,,,554,553,
All Saints' Day,historic,Is. 25:6-9,Rev. 7:2-12,Matt. 5:1-12,33,Rev. 7:13-17,Matt. 5:13-16,Rev. 22:1-7,Luke 6:20-26,,,
All Saints' Day,ilcwa,Is. 26:1-21,Rev. 21:9-27,Mt. 5:1-12,34:1-10,,,,,554,553,
Presentation of our Lord,ilcwb,1 Sm. 1:21-28,Heb. 2:14-18,Lk. 2:22-40,84,,,,,48,151,
Presentation of our Lord,ilcwc,1 Sm. 1:21-28,Heb. 2:14-18,Lk. 2:22-40,84,,,,,48,151,
Presentation of our Lord,historic,Mal. 3:1-4,Heb. 2:14-18,Luke 2:22-40,84,,,,,,,
Presentation of our Lord,ilcwa,1 Sm. 1:21-28,Heb. 2:14-18,Lk. 2:22-40,84,,,,,48,151,
Good Friday,ilcwb,Is. 52:13-53:12,Heb. 4:14-5:9,Jn. 18:1-19:42,22:1-14,,,,,298,334,
Good Friday,ilcwc,Is. 52:13-53:12,Heb. 4:14-5:9,Jn. 18:1-19:42,22:1-14,,,,,298,334,
Good Friday,historic,Is. 52:13-53:12,Heb. 10:1-25,John 18:1-19:42,22,,,,,,,
Good Friday,ilcwa,Is. 52:13-53:12,Heb. 4:14-5:9,Jn. 18:1-19:42,22:1-14,,,,,298,334,
Quinquagesima,historic,Is. 35:3-7,1 Co. 13:1-13,Lk. 18:31-43,31,1 Pt. 3:18-22,Jn. 12:23-36,,,,,
Pentecost 6,ilcwb,Lam. 3:22-33,2 Co. 8:1-14,Mk. 5:24b-34,121,,,,,527,525,
Pentecost 6,ilcwc,1 Kg. 19:14-21,Gal. 5:13-25,Lk. 9:51-62,16,,,,,527,236,
Pentecost 6,ilcwa,Jer. 28:5-9,Rom. 6:1b-11,Mt. 10:34-42,119:153ff,,,,,527,424,
Ash Wednesday,ilcwb,Joel 2:12-19,2 Co. 5:20b-6:2,"Mt. 6:1-6,16-21",51:1-13,,,,,452,493,
Ash Wednesday,ilcwc,Joel 2:12-19,2 Co. 5:20b-6:2,"Mt. 6:1-6,16-21",51:1-13,,,,,452,493,
Ash Wednesday,historic,Joel 2:12-19,2 Cor. 5:20-6:10,Matt. 6:16-21,51,1 Jn. 1:5-9,Luke 6:20-49,,,,,
Ash Wednesday,ilcwa,Joel 2:12-19,2 Co. 5:20b-6:2,"Mt. 6:1-6,16-21",51:1-13,,,,,452,493,
"St. Matthew, Apostle and Evangelist",historic,,Eph. 4:7-14,Matt. 9:9-13,,,,,,,,
Trinity 18,historic,Deut. 10:12-21,1 Cor. 1:4-9,Matt. 22:34-46,"117, 122",Rom. 10:1-13,John 10:23-38,1 Jn. 2:7-17,Mark 10:17-27,,,
Trinity 19,historic,Is. 44:21-23,Eph. 4:22-28,Matt. 9:1-8,"35, 78",Rom. 10:14-21,John 9:1-11,Col. 3:1-10,Luke 13:10-17,,,
Michaelmas 2,historic,Is. 44:21-23,Eph. 4:22-28,Matt. 9:1-8,"35, 78",Rom. 10:14-21,John 9:1-11,Col. 3:1-10,Luke 13:10-17,,,
St. James of Jerusalem,historic,,Rom. 8:28-39,Matt. 20:20-28,,,,,,,,
Trinity 12,historic,Is. 29:18-19,2 Cor. 3:4-11,Mark 7:31-37,70,Rom. 7:1-6,Matt. 12:33-37,1 Cor. 2:9-16,John 9:24-38,,,
Trinity 13,historic,Lev. 18:1-5,Gal. 3:15-22,Luke 10:23-37,74,Rom. 7:7-25,Matt. 5:43-48,1 Cor. 13:1-13,John 13:34-35,,,
Trinity 10,historic,Jer. 7:1-7,1 Cor. 12:1-11,Luke 19:41-48,55,Rom. 5:12-21,Matt. 11:16-24,Heb. 3:12-4:1,John 6:66-71,,,
Trinity 11,historic,2 Sm. 22:21-29,1 Cor. 15:1-10,Luke 18:9-14,68,Rom. 6:1-23,Matt. 21:28-31,1 Jn. 1:8-2:2,Matt. 23:1-12,,,
Trinity 16,historic,Deut. 32:39-40,Eph. 3:13-21,Luke 7:11-17,"102, 115",Rom. 9:1-13,John 11:19-29,Phil. 1:20-26,John 11:32-45,,,
Trinity 17,historic,1 Sm. 2:1-10,Eph. 4:1-6,Luke 14:1-11,119:124ff,Rom. 9:14-23,Mark 2:18-28,Gal. 5:1-14,Matt. 18:1-7,,,
Trinity 14,historic,Jer. 17:13-14,Gal. 5:16-24,Luke 17:11-19,"92, 65",Rom. 8:1-17,John 5:1-14,Rev. 3:1-6,Luke 4:23-30,,,
Trinity 15,historic,Deut. 6:4-7,Gal. 5:25-6:10,Matt. 6:24-34,"86, 108",Rom. 8:18-39,Luke 10:38-42,1 Cor. 7:29-31,Matt. 6:19-23,,,
Trinity 8,historic,Jer. 15:19-21,Rom. 8:12-17,Matt. 7:15-23,48,Rom. 4:9-25,Matt. 7:12-14,1 Jn. 4:1-6,Mark 7:5-16,,,
Trinity 9,historic,1 Ch. 29:10-13,1 Cor. 10:6-13,Luke 16:1-9,54,Rom. 5:1-11,Luke 12:42-48,2 Thes. 3:10-13,Luke 16:10-17,,,
Monday of Holy Week,historic,,Is. 50:5-10,John 12:1-23,6,,,,,,,
Trinity 1,historic,Jer. 9:23-24,1 Jn. 4:16-21,Luke 16:19-31,13,Rom. 1:1-17,Luke 12:13-21,1 Tim. 6:6-16,Matt. 16:24-27,,,
Trinity 2,historic,Is. 25:6-9,1 Jn. 3:13-18,Luke 14:16-24,120,Rom. 1:18-25,Luke 14:25-35,2 Pet. 1:1-11,Luke 9:51-62,,,
Trinity 3,historic,Micah 7:18-20,1 Pet. 5:6-11,Luke 15:1-10,25,Rom. 2:1-16,Luke 15:11-24,Eph. 2:1-9,Matt. 9:9-13,,,
Trinity 4,historic,Is. 58:6-12,Rom. 8:18-23,Luke 6:36-42,79,Rom. 2:17-29,Matt. 5:38-42,Rom. 14:1-12,Matt. 7:1-6,,,
Trinity 5,historic,Jer. 16:14-21,1 Pet. 3:8-15,Luke 5:1-11,21,Rom. 3:1-20,John 1:35-52,Acts 26:1-18,Matt. 16:13-19,,,
Trinity 6,historic,Ex. 20:1-17,Rom. 6:3-11,Matt. 5:20-26,28,Rom. 3:21-31,Matt. 5:17-19,James 2:8-17,Matt. 5:27-37,,,
Trinity 7,historic,Jer. 31:23-25,Rom. 6:19-23,Mark 8:1-9,34,Rom. 4:1-8,Matt. 16:5-12,Ps. 23:1-6,Luke 14:12-15,,,
Third Last,ilcwb,Dan. 12:1-3,Heb. 12:26-29,Mk. 13:1-13,16,,,,,538,536,
Third Last,ilcwc,Ex. 32:15-20,2 Thes. 3:1-5,Lk. 17:20-30,98,,,,,538,536,
Third Last,historic,Is. 49:12-17,1 Th. 4:13-18,Matt. 24:15-28,74,2 Thes. 2:1-12,Matt. 25:1-13,1 Thes. 5:1-10,Matt. 24:35-44,,,
Michaelmas 8,historic,Is. 49:12-17,1 Th. 4:13-18,Matt. 24:15-28,74,2 Thes. 2:1-12,Matt. 25:1-13,1 Thes. 5:1-10,Matt. 24:35-44,,,
Third Last,ilcwa,Job. 14:1-5,1 Thes. 3:11-13,Mt. 24:15-28,90:1-12,,,,,538,536,
Circumcision and Name of Jesus,ilcwb,Nm. 6:22-27,Rom. 1:1-7,Lk. 2:21,8,,,,,159,156,
Circumcision and Name of Jesus,ilcwc,Nm. 6:22-27,Rom. 1:1-7,Lk. 2:21,8,,,,,159,156,
Circumcision and Name of Jesus,historic,Is. 55:1-13,Gal. 3:23-29,Luke 2:21,8,Heb. 13:8-15,John 1:16-18,Ac. 4:8-12,Luke 13:6-9,,,
Circumcision and Name of Jesus,ilcwa,Nm. 6:22-27,Rom. 1:1-7,Lk. 2:21,8,,,,,159,156,
Pentecost,ilcwb,Ezek. 37:1-14,Ac. 2:22-36,Jn. 7:37-39a,143,,,,,2,10,
Pentecost,ilcwc,Gn. 11:1-9,Ac. 2:37-47,Jn. 15:26-16:11,143,,,,,2,10,
Pentecost,historic,Joel 2:28-32,Acts 2:1-11,John 14:23-31,104,Eph 2:17-22,John 15:1-11,Acts 2:32-41,John 14:15-21,,,
Pentecost,ilcwa,Joel 2:28-29,Acts 2:1-21,Jn. 16:5-11,143,,,,,2,10,
Pentecost 9,ilcwb,Jer. 23:1-6,Eph. 2:13-22,Mk. 6:30-34,23,,,,,465,326,
Pentecost 9,ilcwc,Gn. 18:1-14,Co. 1:21-28,Lk. 10:38-42,27,,,,,465,182,
Pentecost 9,ilcwa,Is. 44:6-8,Rom. 8:26-27,Mt. 13:24-30,119:57ff,,,,,465,25,
"St. Bartholemew, Apostle",historic,,2 Cor. 4:7-10,Luke 22:24-30,,,,,,,,
Christmas Vigil,ilcwb,Is. 9:2-7,Titus 2:11-14,Lk. 2:1-20,96,,,,,123,143,
Christmas Vigil,ilcwc,Is. 9:2-7,Titus 2:11-14,Lk. 2:1-20,96,,,,,123,143,
Christmas Vigil,historic,Is. 7:10-14,Titus 2:11-14,Luke 2:1-14,2,,,,,,,
Christmas Vigil,ilcwa,Is. 9:2-7,Titus 2:11-14,Lk. 2:1-20,96,,,,,123,143,
Easter Vigil,ilcwb,Dan. 3:13-29,1 Pet. 3:17-22,Mt. 27:57-66,,,,,,341,344,
Easter Vigil,ilcwc,Dan. 3:13-29,1 Pet. 3:17-22,Mt. 27:57-66,,,,,,341,344,
Easter Vigil,historic,Ex. 14:10-15:1,Rom. 6:3-11,Matt. 28:1-10,46,,,,,,,
Easter Vigil,ilcwa,Dan. 3:13-29,1 Pet. 3:17-22,Mt. 27:57-66,,,,,,341,344,
Palm Sunday,ilcwb,Zech. 9:9-10,Phil. 2:5-11,Mk. 15:1-39,92,,,,,280,277,
Palm Sunday,ilcwc,Dt. 32:36-39,Phil. 2:5-11,Lk. 23:1-49,92,,,,,280,277,
Palm Sunday,historic,Zech. 9:9-10,Phil. 2:5-11,Matt. 21:1-11,22,Is. 42:10-12,John 12:1-16,Is. 53:10-12,John 12:20-33,,,
Palm Sunday,ilcwa,Is. 50:4-9b,Phil. 2:5-11,Mt. 27:11-54,92,,,,,280,277,
Wednesday of Holy Week,historic,,Is. 62:11-63:7,Luke 22:1-23:42,51,,,,,,,
Michaelmas,ilcwb,Dan. 12:1-3,Rev. 12:7-12,Lk. 10:17-20,103:1-22,,,,,545,548,
Michaelmas,ilcwc,Dan. 12:1-3,Rev. 12:7-12,Lk. 10:17-20,103:1-22,,,,,545,548,
Michaelmas,historic,Gen. 28:10-22,Rev. 12:7-12,Matt. 18:1-11,103,,,,,,,
Michaelmas,ilcwa,Dan. 12:1-3,Rev. 12:7-12,Lk. 10:17-20,103:1-22,,,,,545,548,
Annunciation,ilcwb,Is. 7:10-14,1 Tim. 3:16,Lk. 1:25-38,45,,,,,268,269,
Annunciation,ilcwc,Is. 7:10-14,1 Tim. 3:16,Lk. 1:25-38,45,,,,,268,269,
Annunciation,historic,Is. 7:10-15,Heb. 10:5-10,Luke 1:26-38,40,Jer. 33:14-17,Luke 1:39-45,Rev. 21:1-7,Luke 1:46-55,,,
Annunciation,ilcwa,Is. 7:10-14,1 Tim. 3:16,Lk. 1:25-38,45,,,,,268,269,
Advent 2,ilcwb,Is. 40:1-11,2 Pet. 3:8-14,Mk. 1:1-8,19,,,,,106,102,
Advent 2,ilcwc,Mal. 3:1-4,Phil. 1:3-11,Lk. 3:1-6,126,,,,,106,101,
Advent 2,historic,Micah 4:1-7,Rom. 15:4-13,Luke 21:25-36,80,Heb. 10:35-39,Luke 12:35-40,Is. 11:1-5,Luke 17:20-30,,,
Advent 2,ilcwa,Is. 11:1-10,Rom. 15:4-13,Mt. 3:1-12,72:1-14,,,,,106,91,
Advent 3,ilcwb,"Is. 61:1-3,10-11",1 Thes. 5:16-24,Jn. 1:19-28,Lk. 1:46-55,,,,,105,94,
Advent 3,ilcwc,Zeph. 3:14-18,Phil. 4:4-9,Lk. 3:7-18,Is. 12:2-6,,,,,105,104,
Advent 3,historic,Mal. 3:1-6,1 Cor. 4:1-5,Matt. 11:2-10,85,2 Pet. 1:19-21,Matt. 11:11-15,Mal. 3:1-4,Luke 3:1-6,,,
Advent 3,ilcwa,Is. 35:1-10,Jam. 5:7-10,Mt. 11:2-11,146,,,,,105,109,
