dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
Advent 1,ilcwb,Is. 63:16b-64:8,1 Co. 1:3-9,Mk. 13:33-37,98,,,,,90,97,
Advent 1,ilcwc,Jer. 33:14-16,1 Thes. 3:9-13,Lk. 21:25-36,25:1-9,,,,,90,98,
Advent 1,historic,Jer. 33:14-18,Rom. 13:11-14,Matt. 21:1-9,25,Rev. 3:20-22,John 18:33-37,Jer. 31:31-34,Luke 4:16-22,,,
Advent 1,ilcwa,Is. 2:1-5,Rom. 13:11-14,Mt. 24:37-44,50:1-15,,,,,90,96,
Advent 4,ilcwb,2 Sm. 7:1-11,Rom. 16:25-27,Lk. 1:26-28,98,,,,,110,108,
Advent 4,ilcwc,Mic. 5:2-4,Heb. 10:5-10,Lk. 1:39-55,96,,,,,110,47,
Advent 4,historic,Is. 40:1-8,Phil. 4:4-7,John 1:19-28,19,1 Jn 1:1-7,John 3:22-36,1 Pet. 1:10-13,John 5:31-39,,,
Advent 4,ilcwa,Is. 7:10-14,Rom. 1:1-7,Mt. 1:18-25,24,,,,,110,87,
Maundy Thursday,ilcwb,Ex. 24:3-11,1 Co. 10:16-21,Mk. 14:12-26,116:12-19,,,,,329,321,
Maundy Thursday,ilcwc,Jer. 31:31-34,Heb. 10:15-39,Lk. 22:7-20,116:12-19,,,,,329,321,
Maundy Thursday,historic,Ex. 12:1-14,1 Cor. 11:23-32,Luke 22:14-20,67,1 Co. 10:16-17,Matt. 26:17-29,Ac. 2:44-47,John 13:1-15,,,
Maundy Thursday,ilcwa,Ex. 12:1-14,1 Co. 11:17-32,Jn. 13:1-17,116:12-19,,,,,329,321,
Pentecost Vigil,ilcwb,Ex. 19:1-9,Rom. 8:14-27,Jn. 7:37-39a,98,,,,,399,438,
Pentecost Vigil,ilcwc,Ex. 19:1-9,Rom. 8:14-27,Jn. 7:37-39a,98,,,,,399,438,
Pentecost Vigil,historic,Ezek. 36:23-26,Acts 19:1-8,John 14:15-21,33,,,,,,,
Pentecost Vigil,ilcwa,Ex. 19:1-9,Rom. 8:14-27,Jn. 7:37-39a,98,,,,,399,438,
Epiphany,ilcwb,Is. 60:1-6,Eph. 3:2-12,Mt. 2:1-12,72,,,,,167,168,
Epiphany,ilcwc,Is. 60:1-6,Eph. 3:2-12,Mt. 2:1-12,72,,,,,167,168,
Epiphany,historic,Is. 60:1-6,Rom. 3:23-31,Matt. 2:1-12,72,1 Tim. 3:14-16,Matt. 4:13-17,Is. 49:1-6,Matt. 12:15-21,,,
Epiphany,ilcwa,Is. 60:1-6,Eph. 3:2-12,Mt. 2:1-12,72,,,,,167,168,
Pentecost second,ilcwb,Ezek. 36:22-28,Rev. 21:1-5,Mt. 28:16-20,,,,,,401,5,
Pentecost second,ilcwc,Ezek. 36:22-28,Rev. 21:1-5,Mt. 28:16-20,,,,,,401,5,
Pentecost second,historic,Is. 32:14-20,Acts 2:42-47,John 4:5-26,19,,,,,,,
Pentecost second,ilcwa,Ezek. 36:22-28,Rev. 21:1-5,Mt. 28:16-20,,,,,,401,5,
Festival of the Reformation,ilcwb,Jer. 31:31-34,Rom. 3:19-28,Jn. 8:31-36,46,,,,,250,227,
Festival of the Reformation,ilcwc,Jer. 31:31-34,Rom. 3:19-28,Jn. 8:31-36,46,,,,,250,227,
Festival of the Reformation,historic,2 Ch. 29:12-19,Rev. 14:6-7,Matt. 11:12-15,46,1 Sm. 3:19-4:1,John 8:31-46,,,,,
Festival of the Reformation,ilcwa,Jer. 31:31-34,Rom. 3:19-28,Jn. 8:31-36,46,,,,,250,227,
Holy Saturday,historic,Job 14:1-14,1 Pet. 4:1-8,Matt. 27:57-66,130,,,,,,,
Ascension,ilcwb,Ac. 1:1-11,Eph. 1:16-23,Lk. 24:44-53,110,,,,,389,388,
Ascension,ilcwc,Ac. 1:1-11,Eph. 1:16-23,Lk. 24:44-53,110,,,,,389,388,
Ascension,historic,Is. 57:15,Acts 1:1-11,Mark 16:14-20,47,Ps. 110:1-7,John 17:24-26,Eph. 4:7-10,Luke 24:44-53,,,
Ascension,ilcwa,Ac. 1:1-11,Eph. 1:16-23,Lk. 24:44-53,110,,,,,389,388,
Pentecost 19,ilcwb,Nm. 11:4-29,Jam. 4:7-12,Mk. 9:38-50,135:1-14,,,,,220,219,
Pentecost 19,ilcwc,Amos 6:1-7,1 Tm. 6:6-16,Lk. 16:19-31,146,,,,,220,406,
Pentecost 19,ilcwa,Ezek. 18:25-32,Phil. 2:1-11,Mt. 21:28-32,25:1-10,,,,,220,53,
Nativity of St. John the Baptist,historic,Isaiah 40:1-5,,Luke 1:57-80,,,,,,,,
Lent 5,ilcwb,Jer. 31:31-34,Heb. 5:7-9,Jn. 12:20-33,51:10-15,,,,,303,236,
Lent 5,ilcwc,Is. 43:16-21,Phil. 3:8-14,Lk. 20:9-19,28:1-9,,,,,303,249,
Lent 5,historic,Gen. 12:1-3,Heb. 9:11-15,John 8:46-59,43,1 Co. 1:21-31,Matt. 10:32-42,,,,,
Lent 5,ilcwa,Ezek. 37:1-14,Rom. 8:11-19,Jn. 11:47-53,116:1-9,,,,,303,275,
Lent 4,ilcwb,Nm. 21:4-9,Eph. 2:4-10,Jn. 3:14-21,27:1-14,,,,,403,226,
Lent 4,ilcwc,Is. 12:1-6,1 Co. 1:18-31,Lk. 15:11-32,32,,,,,403,426,
Lent 4,historic,Is. 49:8-13,Gal. 4:21-31,John 6:1-15,125,Ps. 84:2-5,John 6:24-36,Ex. 16:11-18,John 6:52-65,,,
Lent 4,ilcwa,Hos. 5:15-6:2,Rom. 8:1-10,Mt. 20:17-28,138,,,,,403,333,
Easter,ilcwb,Is. 25:6-9,1 Co. 15:19-28,Mk. 16:1-8,118,,,,,343,359,
Easter,ilcwc,Ex. 15:1-11,1 Co. 15:1-11,Lk. 24:1-11,118,,,,,343,347,
Easter,historic,Is. 52:13-15,1 Cor. 5:6-8,Mark 16:1-8,118,1 Cor. 15:12-21,Luke 24:1-9,Eph. 1:15-23,Matt. 23:1-8,,,
Easter,ilcwa,Ac. 10:34-43,Col. 3:1-4,Jn. 20:1-18,118,,,,,343,356,
Christmas,ilcwb,Is. 52:7-10,Heb. 1:1-9,Jn. 1:1-14,2,,,,,128,161,
Christmas,ilcwc,Is. 52:7-10,Heb. 1:1-9,Jn. 1:1-14,2,,,,,128,161,
Christmas,historic,Is. 9:2-7,Heb. 1:1-12,John 1:1-14,98,,,,,,,
Christmas,ilcwa,Is. 52:7-10,Heb. 1:1-9,Jn. 1:1-14,2,,,,,128,161,
Lent 3,ilcwb,Ex. 20:1-17,1 Co. 1:22-25,Jn. 2:13-22,19:7-14,,,,,490,302,
Lent 3,ilcwc,Ex. 3:1-15,1 Co. 10:1-13,Lk. 13:1-9,126,,,,,490,214,
Lent 3,historic,2 Sam. 22:1-7,Eph. 5:1-9,Luke 11:14-28,123,Rev. 2:1-7,Luke 4:31-37,Rev. 2:8-11,Luke 8:31-37,,,
Lent 3,ilcwa,Is. 42:14-21,Eph. 5:8-14,Jn. 9:1-41,142,,,,,490,297,
Lent 2,ilcwb,Gn. 28:10-17,Rom. 5:1-11,Mk. 8:31-38,142,,,,,406,433,
Lent 2,ilcwc,Jer. 26:8-15,Phil. 3:17-4:1,Lk. 13:31-35,4,,,,,406,331,
Lent 2,historic,Is. 45:20-25,1 Thes. 4:1-7,Matt. 15:21-28,25,Is. 42:1-7,Luke 7:36-50,Rev. 3:7-13,Mark 9:17-29,,,
Lent 2,ilcwa,Gn. 12:1-8,"Rom. 4:1-5,13-17",Jn. 4:5-26,105:4-11,,,,,406,229,
Trinity 23,historic,Is. 32:1-8,Phil. 3:17-21,Matt. 22:15-22,"85, 115",1 Tim. 2:1-6,Mark 12:41-44,Rom. 13:1-7,Matt. 17:24-27,,,
Michaelmas 6,historic,Is. 32:1-8,Phil. 3:17-21,Matt. 22:15-22,"85, 115",1 Tim. 2:1-6,Mark 12:41-44,Rom. 13:1-7,Matt. 17:24-27,,,
Trinity 22,historic,Deut. 7:9-11,Phil 1:3-11,Matt. 18:23-35,147,Rom. 11:25-36,Matt. 18:15-22,2 Tim. 2:19-21,Mark 4:21-25,,,
Michaelmas 5,historic,Deut. 7:9-11,Phil 1:3-11,Matt. 18:23-35,147,Rom. 11:25-36,Matt. 18:15-22,2 Tim. 2:19-21,Mark 4:21-25,,,
Trinity 21,historic,Hos. 13:14,Eph. 6:10-17,John 4:46-54,119:1-8,Rom. 11:13-24,Matt. 16:1-4,Col. 1:24-2:3,Luke 18:1-8,,,
Michaelmas 4,historic,Hos. 13:14,Eph. 6:10-17,John 4:46-54,119:1-8,Rom. 11:13-24,Matt. 16:1-4,Col. 1:24-2:3,Luke 18:1-8,,,
Trinity 20,historic,Is. 65:1-2,Eph. 5:15-21,Matt. 22:1-14,115,Rom. 11:1-12,Matt. 13:44-50,Heb. 10:19-31,Matt. 21:33-44,,,
Michaelmas 3,historic,Is. 65:1-2,Eph. 5:15-21,Matt. 22:1-14,115,Rom. 11:1-12,Matt. 13:44-50,Heb. 10:19-31,Matt. 21:33-44,,,
"St. Simon and St. Jude, Apostles",historic,,1 Pet. 1:3-9,John 15:17-21,,,,,,,,
Tuesday of Holy Week,historic,,Jer. 11:18-20,John 12:24-43,12,,,,,,,
Trinity 24,historic,Is. 51:9-16,Col. 1:9-14,Matt. 9:18-26,"36, 56",1 Cor. 15:50-56,John 6:37-40,2 Cor. 5:1-10,Luke 20:27-40,,,
Michaelmas 7,historic,Is. 51:9-16,Col. 1:9-14,Matt. 9:18-26,"36, 56",1 Cor. 15:50-56,John 6:37-40,2 Cor. 5:1-10,Luke 20:27-40,,,
Lent 1,ilcwb,Gn. 22:1-18,Rom. 8:31-39,Mk. 1:12-15,6,,,,,250,281,
Lent 1,ilcwc,Dt. 26:5-10,Rom. 10:8b-13,Lk. 4:1-13,91,,,,,250,255,
Lent 1,historic,Gen. 3:1-24,2 Cor. 6:1-10,Matt. 4:1-11,91,1 Pet. 4:1-6,Matt. 16:21-23,Rev. 12:9-11,Luke 10:17-20,,,
Lent 1,ilcwa,Gn. 3:1-7,Rom. 5:12-19,Mt. 4:1-11,130,,,,,250,252,
Visitation,ilcwb,Is. 11:1-5,Rom. 12:9-16,Lk. 1:39-47,138,,,,,107,47,
Visitation,ilcwc,Is. 11:1-5,Rom. 12:9-16,Lk. 1:39-47,138,,,,,107,47,
Visitation,historic,Song of Solomon 2:8-14,Col. 3:12-17,Luke 1:39-47,113,,,,,,,
Visitation,ilcwa,Is. 11:1-5,Rom. 12:9-16,Lk. 1:39-47,138,,,,,107,47,
Transfiguration,ilcwb,2 Kg. 2:1-12c,2 Co. 3:12-4:2,Mk. 9:2-9,50:1-6,,,,,223,225,
Transfiguration,ilcwc,Dt. 34:1-12,2 Co. 4:3-6,Lk. 9:28-36,77,,,,,223,225,
Transfiguration,historic,Is. 61:10-11,2 Pet. 1:16-21,Matt. 17:1-9,84,,,,,,,
Transfiguration,ilcwa,Ex. 24:12-18,2 Pt. 1:16-19,Mt. 17:1-19,2:6-12,,,,,223,225,
Baptism of Jesus,ilcwb,Is. 42:1-7,Ac. 10:34-38,Mk. 1:4-11,45:7-9,,,,,247,248,
Baptism of Jesus,ilcwc,Is. 42:1-7,Ac. 10:34-38,Lk. 3:15-22,45:7-9,,,,,247,248,
Baptism of Jesus,historic,Is. 42:1-9,1 Pet. 3:18-22,Matt. 3:13-17,89,Eph. 5:25-27,Luke 18:31-43,Is. 53:1-7,John 1:29-34,,,
Baptism of Jesus,ilcwa,Is. 42:1-7,Ac. 10:34-38,Mt. 3:13-17,45:7-9,,,,,247,248,
Epiphany 1,historic,Is. 61:1-3,Rom. 12:1-5,Luke 2:41-52,100,Heb. 2:11-16,John 7:14-18,Eph. 6:1-4,Mark 10:13-16,,,
Epiphany 2,ilcwb,1 Sm. 3:1-10,1 Co. 6:12-20,Jn. 1:43-51,67,,,,,224,230,
Epiphany 2,ilcwc,Is. 62:1-5,1 Co. 12:1-11,Jn. 2:1-11,36:5-10,,,,,224,173,
Epiphany 2,historic,Deut. 18:15-19,Rom. 12:6-16,John 2:1-11,66,Eph 2:10-16,John 4:4-26,1 Cor. 1:26-31,Luke 19:1-10,,,
Epiphany 2,ilcwa,Is. 49:1-6,1 Co. 1:1-9,Jn. 1:29-41,92:1-5,,,,,224,235,
Epiphany 3,ilcwb,"Jon. 3:1-5, 10",1 Co. 7:29-31,Mk. 1:14-20,62:5-12,,,,,166,198,
Epiphany 3,ilcwc,Is. 61:1-6,1 Co. 12:12-27,Lk. 4:14-21,146,,,,,166,103,
Epiphany 3,historic,Jer. 33:6-9,Rom. 12:16-21,Matt. 8:1-13,97,Heb. 11:1-10,John 4:27-42,2 Cor. 1:3-11,Mark 1:21-35,,,
Epiphany 3,ilcwa,Is. 9:1-4,1 Co. 1:10-17,Mt. 4:12-23,27:1-9,,,,,166,153,
Epiphany 4,ilcwb,Dt. 18:15-20,1 Co. 8:1-13,Mk. 1:21-28,1,,,,,170,487,
Epiphany 4,ilcwc,Jer. 1:4-10,1 Co. 12:27-13:13,Lk. 4:21-32,36,,,,,170,207,
Epiphany 4,historic,Is. 43:1-3,Rom. 13:8-10,Matt. 8:23-27,102,Heb. 12:1-3,Matt. 21:18-22,2 Tim. 1:7-10,Matt. 14:22-33,,,
Epiphany 4,ilcwa,Mic. 6:1-8,1 Co. 1:26-31,Mt. 5:1-12,1,,,,,170,457,
Epiphany 5,ilcwb,Job 7:1-7,1 Co. 9:16-23,Mk. 1:29-39,147:1-12,,,,,72,172,
Epiphany 5,ilcwc,Is. 6:1-8,1 Co. 14:12b-20,Lk. 5:1-11,136,,,,,72,40,
Epiphany 5,historic,Jer. 17:5-10,Col. 3:12-17,Matt. 13:24-30,20,1 Cor. 1:10-18,Matt. 13:31-35,Eph 4:11-16,Mark 4:26-29,,,
Epiphany 5,ilcwa,Is. 58:5-9a,1 Co. 2:1-5,Mt. 5:13-20,119:17ff,,,,,72,199,
Epiphany 6,ilcwb,2 Kg. 5:1-14,1 Co. 9:24-27,Mk. 1:40-45,32,,,,,409,60,
Epiphany 6,ilcwc,Jer. 17:5-8,1 Co. 15:12-20,Lk. 6:17-26,1,,,,,409,397,
Epiphany 6,ilcwa,Dt. 30:15-20,1 Co. 2:6-13,Mt. 5:20-37,119:1ff,,,,,409,171,
Epiphany 7,ilcwb,Is. 43:18-25,2 Co. 1:18-22,Mk. 2:1-12,130,,,,,456,415,
Epiphany 7,ilcwc,Gn. 45:3-8a,1 Co. 15:35-50,Lk. 6:27-38,103:1-13,,,,,456,458,
Epiphany 7,ilcwa,"Lv. 19:1-2,17-18",1 Co. 3:10-23,Mt. 5:38-48,103:1-13,,,,,456,8,
"St. Peter and St. Paul, Apostles",historic,,Acts 12:1-11,Matt. 16:13-20,,,,,,,,
"St. Philip and St. James, Apostles",historic,,Eph. 2:19-20,John 14:1-14,,,,,,,,
St. Luke the Evangelist,historic,,2 Tim. 4:5-15,Luke 10:1-9,,,,,,,,
Septuagesima,historic,Jer. 1:4-10,1 Co 9:24-10:5,Matt. 20:1-16,18,1 Cor. 3:7-15,Matt. 19:27-30,Phil. 3:7-16,Matt. 25:14-30,,,
Pentecost 20,ilcwb,Gn. 2:18-24,Heb. 2:9-18,Mk. 10:2-16,119:49ff,,,,,253,426,
Pentecost 20,ilcwc,Hab. 2:1-4,2 Tm. 1:3-14,Lk. 17:1-10,62,,,,,253,374,
Pentecost 20,ilcwa,Is. 5:1-7,Phil. 3:12-21,Mt. 21:33-43,118:19-24,,,,,253,539,
Christmas 2,ilcwb,Is. 61:10-62:3,Eph. 1:3-6,Jn. 1:1-18,147:12-20,,,,,165,134,
Christmas 2,ilcwc,Is. 61:10-62:3,Eph. 1:3-6,Jn. 1:1-18,147:12-20,,,,,165,134,
Christmas 2,historic,Is. 42:1-9,1 Pet. 4:12-19,Matt. 2:13-23,106,,,,,,,
Christmas 2,ilcwa,Is. 61:10-62:3,Eph. 1:3-6,Jn. 1:1-18,147:12-20,,,,,165,134,
Christmas 1,ilcwb,Is. 45:22-25,Col. 3:12-17,Lk. 2:25-40,111,,,,,181,48,
Christmas 1,ilcwc,Jer. 31:10-13,Heb. 2:10-18,Lk. 2:41-52,111,,,,,181,164,
Christmas 1,historic,Is. 11:1-5,Gal. 4:1-7,Luke 2:33-40,93,Ps. 16:5-11,Luke 2:25-32,1 Pet. 2:4-10,Luke 1:68-75,,,
Christmas 1,ilcwa,Is. 63:7-9,Gal. 4:4-7,Mt. 2:13-23,111,,,,,181,164,
Easter 2,ilcwb,Acts 3:13-26,1 Jn. 5:1-6,Jn. 20:19-31,148,,,,,366,353,
Easter 2,ilcwc,Ac. 5:17-32,Rev. 1:4-18,Jn. 20:19-31,100,,,,,366,340,
Easter 2,historic,Job 19:25-27,1 Jn. 5:4-12,John 20:19-31,81,Acts 3:11-21,John 21:1-14,Acts 13:26-39,Luke 24:36-43,,,
Easter 2,ilcwa,Ac. 2:22-32,1 Pet. 1:3-9,Jn. 20:19-31,105:1-7,,,,,366,361,
Easter 3,ilcwb,Ac. 4:8-12,1 Jn. 1:1-2:2,Lk. 24:36-49,139:1-12,,,,,357,73,
Easter 3,ilcwc,Ac. 9:1-20,Rev. 5:11-14,Jn. 21:1-14,28:1-9,,,,,357,557,
Easter 3,historic,Ezek. 34:11-16,1 Pet. 2:21-25,John 10:11-16,33,1 Pet. 5:1-4,John 21:15-25,Heb. 13:20-21,John 10:1-10,,,
Easter 3,ilcwa,Ac. 2:36-47,1 Pet. 1:17-21,Lk. 24:13-35,16,,,,,357,563,
Easter 6,ilcwb,Ac. 11:19-30,1 Jn. 4:1-11,Jn. 15:9-17,98,,,,,378,440,
Easter 6,ilcwc,Ac. 14:8-18,Rev. 21:10-23,Jn. 14:23-29,67,,,,,378,539,
Easter 6,historic,Jer. 29:11-14,James 1:22-27,John 16:23-30,124,Heb. 7:18-25,John 17:18-23,Jam. 5:16-20,Matt. 6:5-13,,,
Easter 6,ilcwa,Ac. 17:22-31,1 Pet. 3:15-22,Jn. 14:15-21,98,,,,,378,241,
Easter 7,ilcwb,Ac. 1:15-26,1 Jn. 4:13-21,Jn. 17:11b-19,133,,,,,397,391,
Easter 7,ilcwc,Ac. 16:6-10,Rev. 22:12-20,Jn. 17:20-26,133,,,,,397,392,
Easter 7,historic,Ezek. 36:25-27,1 Pet. 4:7-11,John 15:26-16:4,27,Acts 1:12-14,Luke 11:5-13,1 Pet. 3:15-17,Luke 12:4-12,,,
Easter 7,ilcwa,Ac. 1:1-14,1 Pet. 4:12-5:11,Jn. 17:1-11,133,,,,,397,391,
Easter 4,ilcwb,Ac. 4:23-33,1 Jn. 3:1-2,Jn. 10:11-18,23,,,,,370,368,
Easter 4,ilcwc,Ac. 13:15-33,Rev. 7:9-17,Jn. 10:22-30,23,,,,,370,368,
Easter 4,historic,Lam. 3:18-26,1 Pet. 2:11-20,John 16:16-23,66,Heb. 4:14-16,John 17:1-8,1 Pet. 1:3-9,John 14:1-12,,,
Easter 4,ilcwa,Ac. 7:51-60,1 Pet. 2:19-25,Jn. 10:1-10,23,,,,,370,368,
Easter 5,ilcwb,Ac. 8:26-40,1 Jn. 3:18-24,Jn. 15:1-8,22:25-31,,,,,351,365,
Easter 5,ilcwc,Ac. 13:44-52,Rev. 21:1-5,Jn. 13:31-35,110,,,,,351,421,
Easter 5,historic,Is. 12:1-6,James 1:16-21,John 16:5-15,98,Heb. 5:1-10,John 17:9-17,1 Jn. 3:19-24,John 7:37-39,,,
Easter 5,ilcwa,Ac. 17:1-15,1 Pet. 2:4-10,Jn. 14:1-12,146,,,,,351,365,
Pentecost 23,ilcwb,Jer. 31:7-9,Heb. 5:1-10,Mk. 10:46-52,126,,,,,67,361,
Pentecost 23,ilcwc,Dt. 10:12-22,2 Tm. 4:6-18,Lk. 18:9-14,34,,,,,67,454,
Pentecost 23,ilcwa,Lv. 19:15-18,1 Thes. 1:5b-10,Mt. 22:34-46,1,,,,,67,458,
Pentecost 22,ilcwb,Is. 53:10-12,Heb. 4:9-16,Mk. 10:35-45,91:9-16,,,,,256,382,
Pentecost 22,ilcwc,Gn. 32:22-30,2 Tm. 3:14-4:5,Lk. 18:1-8a,121,,,,,256,387,
Pentecost 22,ilcwa,Is. 45:1-7,1 Thes. 1:1-5a,Mt. 22:15-21,96,,,,,256,381,
Pentecost 21,ilcwb,Amos 5:6-15,Heb. 3:1-6,Mk. 10:17-27,119:73ff,,,,,535,263,
Pentecost 21,ilcwc,Ruth 1:1-19a,2 Tm. 2:8-13,Lk. 17:11-19,111,,,,,535,494,
Pentecost 21,ilcwa,Is. 25:6-9,Phil. 4:4-13,Mt. 22:1-14,23,,,,,535,200,
Pentecost 24,ilcwb,Dt. 6:1-9,Heb. 7:23-28,Mk. 12:28-37,119:121ff,,,,,205,372,
Pentecost 24,ilcwc,Ex. 34:5-9,2 Thes. 1:1-12,Lk. 19:1-10,119:145ff,,,,,205,426,
Pentecost 24,ilcwa,Amos 5:18-24,1 Thes. 4:13-18,Mt. 23:37-39,84:1-7,,,,,205,552,
Pentecost 25,ilcwb,1 Kg. 17:8-16,Heb. 9:24-28,Mk. 12:41-44,107:33-43,,,,,18,444,
Pentecost 25,ilcwc,1 Ch. 29:10-13,2 Thes. 2:13-3:5,Lk. 20:27-38,148,,,,,18,590,
Pentecost 25,ilcwa,Hos. 11:1-9,1 Thes. 5:1-11,Mt. 24:3-14,90:13-17,,,,,18,194,
Easter second,ilcwb,Dan. 12:1c-3,1 Co. 5:6-8,Lk. 24:13-49,146,,,,,563,578,
Easter second,ilcwc,Dan. 12:1c-3,1 Co. 5:6-8,Lk. 24:13-49,146,,,,,563,578,
Easter second,historic,Hosea 13:14,1 Pet. 1:3-12,Matt. 28:1-8,2,,,,,,,
Easter second,ilcwa,Dan. 12:1c-3,1 Co. 5:6-8,Lk. 24:13-49,146,,,,,563,578,
